Company ID,Company Name,Branch ID,Street Address,City,State,Postal Code,License Number,License Name
132893,"Statebridge Company, LLC",,6061 South Willow Drive Suite 300,Greenwood Village,CO,80111,DC1301,MA Debt Collector
929085,"States Recovery Systems, Inc.",,2491 Sunrise Blvd ,Rancho Cordova,CA,95670,DC0721,MA Debt Collector
1423878,Statewide Credit Services Corp.,,36 Millwood Lane ,Merrick,NY,11566,DC1423878,MA Debt Collector
937350,"Stuart-Lippman and Associates, Inc.",,5447 E. 5th St #110 ,Tucson,AZ,85711,DC937350,MA Debt Collector
937350,"Stuart-Lippman and Associates, Inc.",2432819,601 Union Street Suite 1723,Seattle,WA,98101,DC937350,MA Debt Collector
3277,"Sun West Mortgage Company, Inc.",,18303 Gridley Rd. ,Cerritos,CA,90703,DC3277,MA Debt Collector
938371,"SUNRISE CREDIT SERVICES, INC",,8 Corporate Ctr Drive Suite 300,Melville,NY,11747,DC0461,MA Debt Collector
952000,Synergetic Communication Inc,,5450 NW Central # 220 ,Houston,TX,77092,DC0866,MA Debt Collector
1135006,Tata Consultancy Services (Philippines) Inc.,,"Bench Tower, 30th St Corner Rizal Dr, Cresent Pk West 5, Bonifacio Global City,",Taguig City,,01634,DC1135006,MA Debt Collector
1135006,Tata Consultancy Services (Philippines) Inc.,1720677,"eNtec 2 Tower, Lots 1-18, Block 24, Plaridel St., Corner Catalina St., Nepo Center",Angeles City,,02009,DC1135006,MA Debt Collector
1135006,Tata Consultancy Services (Philippines) Inc.,1720692,"Panorama Tower, 34th St. Corner Lane A ",Bonifacio Global City,,01634,DC1135006,MA Debt Collector
952002,"Tate & Kirlin Associates, Inc.",,"4800 Street Road, Suite 170 ",Feasterville-Trevose,PA,19053,DC1069,MA Debt Collector
934023,TCS e-Serve International Limited,,"3010 Lyndon B Johnson Fwy, Suite 400 ",Dallas,TX,75234,DC112042-100,MA Debt Collector
934023,TCS e-Serve International Limited,1696385,"VATIKA Business Park, Tower B, 3rd Floor Section 49, Sohna Road","Gurgaon, Haryana",,122018,DC934023,MA Debt Collector
934023,TCS e-Serve International Limited,1792150,"South Side, Block-2, Garima Park IT  SEZ, ",Gandhinagar Gujarat,,382010,DC934023,MA Debt Collector
934023,TCS e-Serve International Limited,1810194,"Cypress Building, Rajiv Gandhi Floor 2 #s 2, 3 & 4 InfoTech Park, MIDC SEZ Phase III Hinjewadi",Pune,,411057,DC934023,MA Debt Collector
934023,TCS e-Serve International Limited,1845950,"4270 Ivy Pointe Blvd, Suite 400 ",Cincinnati,OH,45245,DC934023,MA Debt Collector
1169295,"Terrill Outsourcing Group, LLC",,7776 S. Pointe Parkway West Suite 280 ,Phoenix,AZ,85044,DC1169295,MA Debt Collector
1169295,"Terrill Outsourcing Group, LLC",1959225,"9370 Studio Ct, Suite 110 ",Elk Grove,CA,95758,DC1169295,MA Debt Collector
932100,"The Allen Daniel Associates, Inc.",,158 Lexington Street ,Waltham,MA,02452,DC0080,MA Debt Collector
206836,The Cadle Company,,100 North Center Street ,Newton Falls,OH,44444-1321,DC1340,MA Debt Collector
948339,"The CBE Group, Inc.",,1309 Technology Parkway ,Cedar Falls,IA,50613,DC0768,MA Debt Collector
948339,"The CBE Group, Inc.",1061600,16th Floor W Fifth Avenue 5th Ave. Corner 32nd Street,"Bonifacio Global City, Taguig City Metro Manila",,01634,DC948339,MA Debt Collector
948339,"The CBE Group, Inc.",2076070,326 Dover Rd. ,Clarksville,TN,37042,DC948339,MA Debt Collector
932664,"The Commercial Collection Corporation of New York, Inc.",,34 Seymour St. ,Tonawanda,NY,14150,DC0420,MA Debt Collector
945358,"Thomas George Associates, Ltd.",,10 Larkfield Road ,East Northport,NY,11731,DC0746,MA Debt Collector
373899,"Todd, Bremer & Lawson, Inc.",,560 S. Herlong Ave. ,Rock Hill,SC,29732,DC0792,MA Debt Collector
950422,Transworld Systems Inc.,,"500 Virginia Dr., Suite 514 ",Ft Washington,PA,19034,DC0246,MA Debt Collector
950422,Transworld Systems Inc.,1105880,"150 n. Field Drive Two Conway Park, Suite 200",Lake Forest,IL,60045,DC950422,MA Debt Collector
950422,Transworld Systems Inc.,1105894,"Ortigas Center ISquare Building, 9th Floor 15 Meralco Avenue, Barangay, San Antonio",Pasig City,,01603,DC950422,MA Debt Collector
950422,Transworld Systems Inc.,1105939,"5th Floor Two Cyberpod Centris, South Tower, Eton Centris, EDSA Corner Quezon Avenue, Bgy. Pinyahan",Quezon City,,01101,DC950422,MA Debt Collector
950422,Transworld Systems Inc.,1130471,"33400 8th Ave. South, Suite 100 ",Federal Way,WA,98003,DC950422,MA Debt Collector
950422,Transworld Systems Inc.,1130511,2135 East Primrose Suite Q,Springfield,MO,65804,DC950422,MA Debt Collector
950422,Transworld Systems Inc.,1130692,220 Northpointe Pkwy ,Amherst,NY,14228,DC950422,MA Debt Collector
950422,Transworld Systems Inc.,1130703,"1105 Schrock Rd, Suite 300 ",Columbus,OH,43229,DC950422,MA Debt Collector
950422,Transworld Systems Inc.,1166251,802 East Martintown Road Suite 201,North Augusta,SC,29841,DC950422,MA Debt Collector
950422,Transworld Systems Inc.,1743640,"Metro Office Park, 18 Calle 1, Ste. 101 ",Guaynabo,PR,00968,DC950422,MA Debt Collector
950422,Transworld Systems Inc.,2090635,10900 Corporate Centre Drive Suite 100C,Houston,TX,77041,DC950422,MA Debt Collector
950422,Transworld Systems Inc.,2098077,6506 S. Lewis Ave. #260A ,Tulsa,OK,74136,DC950422,MA Debt Collector
